Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD
AR100125170957549568,Azione,,"EU, IT",EU-Parliament,64,6900,5950,515750,11650,44900,158000,44500,2115000,26500,28875,62250,5450,10400
AR100201587015680000,ALEX FOR AZ,Registered in Arizona 100259,US,US-Federal,9,4700,4050,349000,7900,30400,107000,30000,1417500,18000,19575,42000,3650,7000
AR100207290732249088,FRIENDS OF SUZY GLOWIAK,EIN ID 46-3931666,US,US-Federal,1,100,100,9000,200,800,3000,1000,37500,500,525,750,100,200
AR100293190078169088,DYLAN BILLINGS FOR SENATE,FEC ID C00714477,US,US-Federal,1,100,50,3750,100,300,1000,500,15000,200,225,750,50,0
AR10057920054034432,ARCHERD FOR CONGRESS,FEC ID C00732347,US,US-Federal,3,1400,1250,98000,2450,9300,31000,9500,420000,5300,6000,13500,1050,2200
AR100605107783073792,PAGE PAC,Registered in Missouri C190939,US,US-Federal,2,5600,4800,421750,9350,35700,125000,35500,1650000,21100,23100,49500,4300,8400
AR100609299671154688,"PS:Digital, s.r.o.",,"AT, CZ, EU, SK",EU-Parliament,55,3300,3050,237250,5950,22700,77000,22500,1027500,13100,14625,32250,2550,5200
AR100745295515615232,CONGRESSIONAL PROGRESSIVE CAUCUS PAC,FEC ID C00513176,US,US-Federal,35,25900,22550,1952250,44100,169800,597000,168000,7822500,100000,109050,234750,20400,39600
AR100838960162406400,SECURING LOUISIANAS FUTURE,EIN ID 83-2750304,US,US-Federal,143,152100,135200,10723750,264450,1001100,3474000,1009000,43732500,582400,639600,1428000,120950,229000
AR100996740080992256,FreedomWorks Inc,EIN ID 52-1349353,US,US-Federal,319,167000,147550,11954000,288625,1098900,3811000,1101000,48907500,638400,701700,1554750,129650,254400
AR101044156519940096,DELEGACION ESPAÑOLA DEL GRUPO DE LA ALIANZA PROGRESISTA DE SOCIALISTAS Y DEMOCRATAS EN EL PARLAMENTENO EUROPEO,,"ES, EU",EU-Parliament,2,2700,2350,201250,4600,17800,62000,17500,810000,10400,11325,24750,2100,4000
AR101121809528651776,"PETE FOR AMERICA, INC.",FEC ID C00697441,US,US-Federal,3930,7204900,6505650,511355500,12723975,48369800,165487000,48597000,2160195000,27858600,31009125,69039000,5603100,11120400
AR101148472685625344,DOUG WARDLOW FOR ATTORNEY GENERAL,EIN ID 82-0758730,US,US-Federal,20,23500,20600,1713750,40250,152900,531000,153500,6652500,88600,96000,213000,18150,35800
AR101183107301900288,Fianna Fáil,,"EU, GB, IE",EU-Parliament,236,53300,48250,3790750,94325,359000,1217000,360500,16177500,206400,230100,511500,41050,82000
AR101209633019920384,VAN DREW FOR CONGRESS,FEC ID C00661868,US,US-Federal,3,21000,18250,1529000,35675,137200,485000,136000,6427500,81100,88275,192000,16300,31800
AR101303297666711552,LINDSEY PORT FOR MN,Registered in Minnesota 18466,US,US-Federal,19,9000,7650,670750,15000,57600,202000,57000,2677500,34000,37125,79500,6950,13600
AR101369474522808320,CITIZENS FOR A STRONGER NEW JERSEY,FEC ID C00676700,US,US-Federal,10,1200,1050,87750,2050,7800,27000,8000,337500,4500,4875,11250,900,1800
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,FEC ID C00669507,US,US-Federal,5,1900,1650,138250,3275,12400,43000,12500,540000,7200,7800,17250,1500,3000
AR102035434971856896,FAIRVOTE,EIN ID 54-1635649,US,US-Federal,8,12000,10800,852500,21150,80300,278000,80500,3562500,46700,51450,115500,9500,18600
AR102122639987834880,MCCONNELL SENATE COMMITTEE,FEC ID C00193342,US,US-Federal,181,1878100,1646400,138923750,3220250,12399500,43650000,12270000,576457500,7301600,7956000,17310750,1475500,2900000
AR102186205503815680,SECURE DEMOCRACY,EIN ID 82-3846342,US,US-Federal,8,22600,19300,1692000,37800,145000,508000,144000,6690000,85200,93375,198750,17550,34000
AR10245043189186560,MAST FOR CONGRESS,EIN ID 81-5214677,US,US-Federal,17,33700,28500,2480000,55750,214800,756000,212000,10192500,126700,138300,296250,25800,50600
AR102636249356959744,JESSICA TAYLOR FOR CONGRESS,EIN ID 84-3231707,US,US-Federal,26,2500,2300,182000,4475,17100,58000,17000,765000,9800,10950,24000,1950,4000
AR102638173502308352,HILLARY O'CONNOR MUERI FOR OHIO,FEC ID C00722637,US,US-Federal,10,0,0,250,0,0,0,0,0,0,0,0,0,0
