Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD
AT,,,1223600,1076750,86764750,2129050,8087900,27996000,8124500,348307500,4674100,5175750,11343000,929950,1823200
BE,,,450700,396600,31956500,784150,2978900,10311000,2992500,128287500,1721500,1906275,4177500,342500,671400
BG,,,10100,8850,714750,17550,66600,231000,67000,2872500,38500,42675,93750,7650,15000
CY,,,6800,5950,480750,11800,44800,155000,45000,1927500,25900,28650,63000,5150,10200
CZ,,,194000,170750,13757750,337600,1282500,4439000,1288500,55230000,741100,820725,1798500,147450,289000
DE,,,1128600,993200,80031250,1963825,7460300,25823000,7494000,321277500,4311400,4774125,10462500,857750,1681600
DK,,,705100,620500,49998750,1226875,4660700,16133000,4682000,200715000,2693500,2982600,6536250,535900,1050600
EE,,,24000,21100,1700000,41725,158500,549000,159000,6825000,91600,101400,222000,18200,35800
ES,,,1184500,1042350,83992750,2061025,7829500,27101000,7865000,337177500,4524800,5010450,10980000,900200,1765000
FI,,,237700,209150,16853500,413550,1571000,5438000,1578000,67657500,907900,1005375,2203500,180650,354200
FR,,,19600,17250,1391750,34150,129700,449000,130500,5587500,75000,83025,182250,14900,29200
GB,,,1926800,1695550,136628250,3352600,12736000,44085000,12794000,548475000,7360300,8150325,17861250,1464350,2871000
GR,,,1195300,1051850,84759000,2079825,7901000,27349000,7937000,340252500,4566100,5056125,11080500,908450,1781000
HR,,,273800,240950,19416250,476425,1809900,6265000,1818000,77947500,1046000,1158225,2538000,208100,408000
HU,,,105400,92750,7473000,183375,696600,2411000,700000,30000000,402600,445800,977250,80100,157000
IE,,,94700,83350,6715500,164800,626000,2167000,629000,26962500,361800,400575,878250,72000,141200
IN,IN-AN,,5600,4950,399500,9800,37200,129000,37500,1605000,21500,23850,52500,4300,8400
IN,IN-AP,,737200,648700,52273500,1282700,4872800,16867000,4895000,209842500,2816000,3118275,6834000,560250,1098400
IN,IN-AR,,5600,4950,400500,9825,37300,129000,37500,1605000,21600,23850,52500,4300,8400
IN,IN-AS,,21200,18650,1501250,36850,140000,484000,140500,6030000,80900,89550,196500,16100,31600
IN,IN-BR,,204500,179950,14502000,355850,1351800,4679000,1358000,58215000,781200,865125,1896000,155450,304800
IN,IN-CH,,107100,94250,7595500,186375,708000,2451000,711500,30495000,409200,453075,993000,81400,159600
IN,IN-CT,,15500,13650,1099500,26975,102500,355000,103000,4417500,59200,65625,144000,11800,23200
IN,IN-DD,,5800,5100,410250,10075,38200,132000,38500,1650000,22100,24450,54000,4400,8600
IN,IN-DL,,902200,793900,63971500,1569750,5963200,20641000,5990500,256807500,3446200,3816075,8363250,685650,1344200
IN,IN-DN,,5800,5100,411500,10100,38400,133000,38500,1650000,22200,24525,54000,4400,8600
IN,IN-GA,,6700,5900,473500,11625,44100,153000,44500,1897500,25500,28275,62250,5100,10000
IN,IN-GJ,,108600,95600,7703250,189025,718100,2486000,721500,30922500,415000,459525,1007250,82550,161800
IN,IN-HP,,42700,37600,3029500,74325,282400,977000,283500,12165000,163200,180750,396000,32450,63600
IN,IN-HR,,143100,125900,10146000,248975,945800,3274000,950000,40732500,546600,605250,1326750,108750,213200
IN,IN-JH,,25500,22450,1808750,44375,168600,584000,169500,7260000,97400,107925,236250,19400,38000
IN,IN-JK,,15800,13950,1123250,27575,104700,362000,105000,4507500,60500,67050,147000,12050,23600
IN,IN-KA,,49400,43500,3504000,85975,326600,1131000,328000,14062500,188800,209025,458250,37550,73600
IN,IN-KL,,34100,30000,2418000,59325,225400,780000,226500,9705000,130300,144225,315750,25900,50800
IN,IN-LD,,5600,4950,397000,9750,37000,128000,37000,1590000,21400,23700,51750,4250,8400
IN,IN-MH,,428500,377100,30384750,745575,2832400,9804000,2845000,121972500,1636900,1812525,3972000,325650,638400
IN,IN-ML,,5900,5200,418000,10250,39000,135000,39000,1680000,22500,24900,54750,4500,8800
IN,IN-MN,,7300,6400,516750,12675,48200,167000,48500,2077500,27800,30825,67500,5550,10800
IN,IN-MP,,201900,177700,14319250,351375,1334800,4620000,1341000,57480000,771400,854175,1872000,153450,300800
IN,IN-MZ,,5700,5050,407750,10000,38000,132000,38000,1635000,22000,24300,53250,4350,8600
IN,IN-NL,,5700,5000,403750,9900,37600,130000,38000,1620000,21800,24075,52500,4350,8400
IN,IN-OR,,26400,23250,1874000,45975,174700,605000,175500,7522500,101000,111825,245250,20100,39400
IN,IN-PB,,96900,85300,6872000,168625,640600,2217000,643500,27585000,370200,409950,898500,73650,144400
IN,IN-PY,,6200,5450,439750,10800,41000,142000,41000,1762500,23700,26250,57750,4700,9200
IN,IN-RJ,,203100,178750,14402500,353400,1342500,4647000,1348500,57817500,775900,859125,1882500,154350,302600
IN,IN-SK,,5700,4950,400750,9825,37300,129000,37500,1605000,21600,23925,52500,4300,8400
IN,IN-TG,,298000,262250,21131500,518525,1969800,6818000,1979000,84832500,1138400,1260525,2762250,226500,444000
IN,IN-TN,,732000,644150,51906750,1273700,4838600,16748000,4860500,208372500,2796300,3096375,6786000,556350,1090600
IN,IN-TR,,6700,5900,474000,11625,44200,153000,44500,1905000,25500,28275,62250,5100,10000
IN,IN-UP,,276300,243200,19595750,480850,1826600,6323000,1835000,78667500,1055600,1168950,2562000,210000,411800
IN,IN-UT,,11800,10350,833500,20450,77700,269000,78000,3345000,44900,49725,108750,8950,17600
IN,IN-WB,,234900,206700,16657500,408750,1552800,5375000,1560000,66870000,897400,993675,2178000,178550,350000
IT,,,567400,499350,40237500,987350,3750800,12983000,3768000,161527500,2167600,2400300,5260500,431250,845400
LT,,,99500,87550,7056500,173150,657800,2277000,661000,28327500,380100,420975,922500,75650,148200
LU,,,1600,1450,115500,2825,10800,37000,11000,465000,6200,6900,15000,1250,2400
LV,,,15000,13250,1066250,26175,99400,344000,100000,4282500,57400,63600,139500,11450,22400
MT,,,600,550,42500,1050,4000,14000,4000,172500,2300,2550,5250,450,800
NL,,,163700,144050,11609250,284875,1082200,3746000,1087000,46605000,625400,692550,1518000,124450,244000
NZ,,,331000,291250,23470000,575900,2187800,7573000,2197500,94215000,1264400,1400025,3068250,251550,493200
PL,,,1040100,915350,73756750,1809850,6875400,23799000,6906500,296085000,3973400,4399800,9642000,790500,1549800
PT,,,1400,1250,99750,2450,9300,32000,9500,397500,5400,5925,12750,1050,2000
RO,,,1585500,1395250,112428500,2758800,10480200,36276000,10528000,451335000,6056700,6706725,14697750,1205000,2362400
SE,,,104600,92000,7414750,181950,691200,2392000,694500,29767500,399400,442350,969000,79450,155800
SI,,,6900,6100,491000,12050,45800,158000,46000,1972500,26500,29325,64500,5250,10400
SK,,,1280000,1126350,90762000,2227125,8460500,29285000,8499000,364350000,4889400,5414250,11865000,972750,1907200
US,US-AK,AK-AT LARGE,755100,664550,53547500,1313950,4991500,17278000,5014000,214957500,2884700,3194250,7000500,573900,1125200
US,US-AL,AL-1,571600,503050,40534250,994625,3778500,13079000,3795500,162720000,2183600,2418000,5298750,434450,851800
US,US-AL,AL-2,516400,454450,36617750,898525,3413400,11815000,3429000,147000000,1972600,2184375,4787250,392450,769400
US,US-AL,AL-3,572800,504050,40614500,996600,3785900,13105000,3803000,163042500,2187900,2422800,5309250,435300,853400
US,US-AL,AL-4,596000,524450,42259250,1036950,3939300,13635000,3957000,169642500,2276500,2520900,5524500,452950,888000
US,US-AL,AL-5,641100,564150,45457750,1115450,4237400,14668000,4256500,182482500,2448900,2711700,5943000,487200,955200
US,US-AL,AL-6,893500,786250,63355000,1554600,5905700,20442000,5932500,254332500,3413000,3779325,8282250,679050,1331200
US,US-AL,AL-7,461700,406300,32740500,803400,3052000,10564000,3066000,131430000,1763800,1953075,4280250,350900,688000
US,US-AR,AR-1,425300,374250,30156250,739975,2811100,9730000,2824000,121057500,1624500,1798875,3942000,323200,633600
US,US-AR,AR-2,758900,667850,53813500,1320475,5016300,17364000,5039000,216030000,2899000,3210150,7035000,576750,1130800
US,US-AR,AR-3,662400,582900,46970250,1152575,4378400,15156000,4398500,188557500,2530300,2801925,6140250,503400,987000
US,US-AR,AR-4,411200,361900,29160250,715550,2718200,9409000,2730500,117060000,1570900,1739475,3812250,312550,612800
US,US-AZ,AZ-1,2602000,2289750,184506250,4527450,17199100,59533000,17277000,740677500,9939600,11006400,24120000,1977500,3877000
US,US-AZ,AZ-2,1773800,1560950,125780500,3086425,11724900,40585000,11778000,504930000,6775900,7503225,16443000,1348100,2643000
US,US-AZ,AZ-3,1891800,1664750,134145500,3291675,12504600,43284000,12561500,538515000,7226600,8002200,17536500,1437750,2818800
US,US-AZ,AZ-4,2539100,2234400,180047750,4418025,16783500,58095000,16859500,722782500,9699400,10740375,23537250,1929700,3783200
