Category: All categories

Week,donald trump: (United States),joe biden: (United States),kamala harris: (United States),mike pence: (United States)
2019-10-13,11,2,1,<1
2019-10-20,10,1,1,<1
2019-10-27,12,2,1,<1
2019-11-03,13,1,1,<1
2019-11-10,12,1,1,<1
2019-11-17,12,2,1,<1
2019-11-24,9,1,1,<1
2019-12-01,9,4,6,<1
2019-12-08,11,2,1,<1
2019-12-15,39,3,<1,2
2019-12-22,11,1,<1,1
2019-12-29,12,2,<1,1
2020-01-05,17,1,<1,1
2020-01-12,11,2,1,<1
2020-01-19,10,2,<1,1
2020-01-26,11,2,<1,<1
2020-02-02,18,4,<1,1
2020-02-09,11,4,<1,<1
2020-02-16,11,3,<1,<1
2020-02-23,10,5,<1,1
2020-03-01,11,25,1,2
2020-03-08,17,14,1,1
2020-03-15,18,8,1,2
2020-03-22,15,8,<1,2
2020-03-29,12,4,<1,1
2020-04-05,11,8,1,1
2020-04-12,14,8,<1,1
2020-04-19,12,5,<1,1
2020-04-26,10,9,<1,1
2020-05-03,9,6,<1,1
2020-05-10,11,5,1,1
2020-05-17,11,8,<1,1
2020-05-24,14,8,1,<1
2020-05-31,27,8,1,1
2020-06-07,16,7,1,<1
2020-06-14,18,6,1,1
2020-06-21,17,8,2,1
2020-06-28,24,8,1,1
2020-07-05,16,7,1,1
2020-07-12,14,7,1,<1
2020-07-19,12,8,2,<1
2020-07-26,13,8,4,<1
2020-08-02,12,12,3,<1
2020-08-09,14,22,100,1
2020-08-16,19,24,23,1
2020-08-23,21,11,6,2
2020-08-30,13,12,3,<1
2020-09-06,13,10,4,<1
2020-09-13,12,12,4,<1
2020-09-20,11,11,3,<1
2020-09-27,40,34,5,2
2020-10-04,42,17,4,3
