Category: All categories

Region,donald trump: (10/8/19 - 10/8/20),joe biden: (10/8/19 - 10/8/20),kamala harris: (10/8/19 - 10/8/20),mike pence: (10/8/19 - 10/8/20)
New Jersey,57%,28%,13%,2%
Minnesota,56%,29%,12%,3%
Pennsylvania,54%,32%,12%,2%
Massachusetts,53%,30%,14%,3%
Illinois,57%,27%,13%,3%
Delaware,48%,36%,14%,2%
Wisconsin,55%,30%,12%,3%
Michigan,54%,30%,13%,3%
Rhode Island,55%,30%,13%,2%
Oregon,55%,29%,13%,3%
New Hampshire,52%,32%,13%,3%
Maine,54%,31%,13%,2%
New York,56%,28%,14%,2%
South Dakota,60%,26%,12%,2%
District of Columbia,42%,35%,19%,4%
Ohio,56%,29%,13%,2%
Connecticut,54%,31%,13%,2%
Arizona,55%,29%,13%,3%
West Virginia,57%,28%,12%,3%
Washington,55%,29%,13%,3%
Florida,56%,28%,13%,3%
Maryland,53%,29%,15%,3%
Nevada,58%,27%,13%,2%
Iowa,55%,31%,11%,3%
Colorado,56%,28%,14%,2%
Virginia,52%,29%,16%,3%
North Carolina,55%,29%,14%,2%
California,55%,28%,15%,2%
Nebraska,56%,30%,12%,2%
Kentucky,57%,28%,12%,3%
New Mexico,57%,27%,13%,3%
Georgia,54%,28%,16%,2%
Arkansas,56%,28%,14%,2%
Missouri,55%,30%,13%,2%
South Carolina,55%,28%,14%,3%
Tennessee,55%,29%,14%,2%
Montana,53%,30%,14%,3%
Vermont,50%,31%,16%,3%
Indiana,54%,29%,13%,4%
Oklahoma,56%,29%,13%,2%
Louisiana,57%,27%,14%,2%
Texas,57%,27%,14%,2%
Alabama,56%,28%,14%,2%
North Dakota,57%,29%,12%,2%
Utah,55%,31%,12%,2%
Mississippi,58%,27%,13%,2%
Kansas,54%,29%,14%,3%
Wyoming,54%,31%,13%,2%
Alaska,55%,29%,13%,3%
Idaho,53%,31%,13%,3%
Hawaii,55%,27%,15%,3%
